synthetic_chromosome,feature_record_id,feature_type,sgd_gene_id,gene_name,source_start_bp,source_end_bp,synthetic_start_bp,synthetic_end_bp,synthetic_midpoint_bp,strand,essential_status,mapping_status,source_accession,source_file,left_lox_id,right_lox_id,segment_id,interval_mapping_status,eligible_for_gene_risk
SynII,SynII_gene_0018,ORF,S000007228,SCS22,30197,30724,30197.0,30724.0,30460.5,-,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_12,SynII_loxPsym_13,SynII_SEG_0013,exact_adjacent_lox,True
SynII,SynII_gene_0019,ORF,S000000187,MAP2,30941,32206,30941.0,32206.0,31573.5,-,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_13,SynII_loxPsym_14,SynII_SEG_0014,exact_adjacent_lox,True
SynII,SynII_gene_0020,ORF,S000000186,MRP21,32403,32936,32403.0,32936.0,32669.5,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_13,SynII_loxPsym_14,SynII_SEG_0014,exact_adjacent_lox,True
SynII,SynII_gene_0021,ORF,S000000185,AVT5,33186,34565,33186.0,34565.0,33875.5,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_14,SynII_loxPsym_15,SynII_SEG_0015,exact_adjacent_lox,True
SynII,SynII_gene_0022,ORF,S000000184,TEL1,34699,43062,34699.0,43062.0,38880.5,-,Ambiguous,unique_flanking_anchors,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_16,SynII_loxPsym_17,SynII_SEG_0017,exact_adjacent_lox,True
SynII,SynII_gene_0023,ORF,S000000183,RPL23A,43536,44453,43536.0,44453.0,43994.5,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_17,SynII_loxPsym_18,SynII_SEG_0018,exact_adjacent_lox,True
SynII,SynII_gene_0024,ORF,S000000182,YBL086C,44916,46316,44916.0,46316.0,45616.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_17,SynII_loxPsym_18,SynII_SEG_0018,exact_adjacent_lox,True
SynII,SynII_rep_origin_0025,rep_origin,S000118344,ARS202;Autonomously Replicating Sequence,46907,47141,46907.0,47141.0,47024.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_17,SynII_loxPsym_18,SynII_SEG_0018,exact_adjacent_lox,False
SynII,SynII_gene_0026,ORF,S000000181,BOI1,47590,50532,47590.0,50532.0,49061.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_17,SynII_loxPsym_18,SynII_SEG_0018,exact_adjacent_lox,True
SynII,SynII_gene_0027,ORF,S000000180,CDC27,50917,53193,50917.0,53193.0,52055.0,-,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_18,SynII_loxPsym_19,SynII_SEG_0019,exact_adjacent_lox,True
SynII,SynII_gene_0028,ORF,S000000179,YBL083C,53461,53886,53461.0,53886.0,53673.5,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_18,SynII_loxPsym_19,SynII_SEG_0019,exact_adjacent_lox,True
SynII,SynII_gene_0029,ORF,S000000178,ALG3,53499,54875,53499.0,54875.0,54187.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_18,SynII_loxPsym_19,SynII_SEG_0019,exact_adjacent_lox,True
SynII,SynII_gene_0030,ORF,S000000177,YBL081W,55614,56720,55614.0,56720.0,56167.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_18,SynII_loxPsym_19,SynII_SEG_0019,exact_adjacent_lox,True
SynII,SynII_gene_0031,ORF,S000000176,PET112,56852,58477,56852.0,58477.0,57664.5,-,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_19,SynII_loxPsym_20,SynII_SEG_0020,exact_adjacent_lox,True
SynII,SynII_gene_0032,ORF,S000000175,NUP170,59041,63549,59041.0,63549.0,61295.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_19,SynII_loxPsym_20,SynII_SEG_0020,exact_adjacent_lox,True
SynII,SynII_gene_0033,ORF,S000000174,ATG8,64194,64547,64194.0,64547.0,64370.5,-,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_20,SynII_loxPsym_21,SynII_SEG_0021,exact_adjacent_lox,True
SynII,SynII_gene_0034,ORF,S000000173,YBL077W,64713,65144,64713.0,65144.0,64928.5,+,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_20,SynII_loxPsym_21,SynII_SEG_0021,exact_adjacent_lox,True
SynII,SynII_gene_0035,ORF,S000000172,ILS1,64859,68077,64859.0,68077.0,66468.0,-,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_20,SynII_loxPsym_21,SynII_SEG_0021,exact_adjacent_lox,True
SynII,SynII_gene_0036,ORF,S000000171,SSA3,68349,70298,68349.0,70298.0,69323.5,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_21,SynII_loxPsym_22,SynII_SEG_0022,exact_adjacent_lox,True
SynII,SynII_gene_0037,ORF,S000000170,AAR2,70572,71639,70572.0,71639.0,71105.5,-,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_21,SynII_loxPsym_22,SynII_SEG_0022,exact_adjacent_lox,True
SynII,SynII_gene_0038,ORF,S000000169,YBL073W,71496,71807,71496.0,71807.0,71651.5,+,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_21,SynII_loxPsym_22,SynII_SEG_0022,exact_adjacent_lox,True
SynII,SynII_gene_0039,ORF,S000000168,RPS8A,72407,73324,72407.0,73324.0,72865.5,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,exact_adjacent_lox,True
SynII,SynII_gene_0040,ORF,S000028597,YBL071C-B,73342,73440,73342.0,73440.0,73391.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,exact_adjacent_lox,True
SynII,SynII_gene_0041,ORF,S000007587,KTI11,73862,74110,73862.0,74110.0,73986.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,exact_adjacent_lox,True
SynII,SynII_gene_0042,ORF,S000000167,YBL071C,74107,74415,74107.0,74415.0,74261.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,exact_adjacent_lox,True
SynII,SynII_gene_0043,ORF,S000000166,YBL070C,74489,74809,74489.0,74809.0,74649.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,exact_adjacent_lox,True
SynII,SynII_gene_0044,ORF,S000000165,AST1,74625,75914,74625.0,75914.0,75269.5,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,exact_adjacent_lox,True
SynII,SynII_gene_0045,ORF,S000028530,YBL068W-A,75678,75914,75678.0,75914.0,75796.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,exact_adjacent_lox,True
SynII,SynII_gene_0046,ORF,S000000164,PRS4,76332,77312,76332.0,77312.0,76822.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_23,SynII_loxPsym_24,SynII_SEG_0024,exact_adjacent_lox,True
SynII,SynII_gene_0047,ORF,S000000163,UBP13,77625,79868,77625.0,79868.0,78746.5,-,Unknown,unique_flanking_anchors,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_25,SynII_loxPsym_26,SynII_SEG_0026,exact_adjacent_lox,True
SynII,SynII_gene_0048,ORF,S000000162,SEF1,80689,84135,80689.0,84135.0,82412.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_26,SynII_loxPsym_27,SynII_SEG_0027,exact_adjacent_lox,True
SynII,SynII_gene_0049,ORF,S000000161,YBL065W,83983,84327,83983.0,84327.0,84155.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_26,SynII_loxPsym_27,SynII_SEG_0027,exact_adjacent_lox,True
SynII,SynII_gene_0050,ORF,S000000160,PRX1,84425,85210,84425.0,85210.0,84817.5,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_27,SynII_loxPsym_28,SynII_SEG_0028,exact_adjacent_lox,True
SynII,SynII_gene_0051,ORF,S000000159,KIP1,85940,89275,85940.0,89275.0,87607.5,+,Unknown,unique_flanking_anchors,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_27,SynII_loxPsym_28,SynII_SEG_0028,exact_adjacent_lox,True
SynII,SynII_gene_0052,ORF,S000000158,YBL062W,89396,89776,89396.0,89776.0,89586.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_28,SynII_loxPsym_29,SynII_SEG_0029,exact_adjacent_lox,True
SynII,SynII_gene_0053,ORF,S000000157,SKT5,89404,91494,89404.0,91494.0,90449.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_28,SynII_loxPsym_29,SynII_SEG_0029,exact_adjacent_lox,True
SynII,SynII_gene_0054,ORF,S000000156,YEL1,92020,94083,92020.0,94083.0,93051.5,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_28,SynII_loxPsym_29,SynII_SEG_0029,exact_adjacent_lox,True
SynII,SynII_gene_0055,ORF,S000007488,CMC2,94281,94610,94281.0,94610.0,94445.5,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_30,SynII_loxPsym_31,SynII_SEG_0031,exact_adjacent_lox,True
SynII,SynII_gene_0056,ORF,S000000155,YBL059W,94665,95246,,,,+,Unknown,anchor_failed:unique_exact:not_found,CP013608,./outputs\revised_model\input_sources\CP013608.gb,,,,feature_coordinate_unresolved,False
SynII,SynII_gene_0057,ORF,S000000154,SHP1,95439,96710,95439.0,96710.0,96074.5,+,Ambiguous,unique_flanking_anchors,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_30,SynII_loxPsym_31,SynII_SEG_0031,exact_adjacent_lox,True
SynII,SynII_gene_0058,ORF,S000000153,PTH2,96871,97497,96871.0,97497.0,97184.0,-,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_32,SynII_loxPsym_33,SynII_SEG_0033,exact_adjacent_lox,True
SynII,SynII_gene_0059,ORF,S000000152,PTC3,97832,99238,97832.0,99238.0,98535.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_32,SynII_loxPsym_33,SynII_SEG_0033,exact_adjacent_lox,True
SynII,SynII_gene_0060,ORF,S000000151,YBL055C,99711,100967,99711.0,100967.0,100339.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_34,SynII_loxPsym_35,SynII_SEG_0035,exact_adjacent_lox,True
SynII,SynII_gene_0061,ORF,S000000150,TOD6,101727,103304,101727.0,103304.0,102515.5,+,Unknown,unique_flanking_anchors,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_34,SynII_loxPsym_35,SynII_SEG_0035,exact_adjacent_lox,True
SynII,SynII_gene_0062,ORF,S000000149,YBL053W,103507,103881,103507.0,103881.0,103694.0,+,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_35,SynII_loxPsym_36,SynII_SEG_0036,exact_adjacent_lox,True
SynII,SynII_gene_0063,ORF,S000000148,SAS3,103551,106046,103551.0,106046.0,104798.5,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_35,SynII_loxPsym_36,SynII_SEG_0036,exact_adjacent_lox,True
SynII,SynII_gene_0064,ORF,S000000147,PIN4,106959,108965,106959.0,108965.0,107962.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_36,SynII_loxPsym_37,SynII_SEG_0037,exact_adjacent_lox,True
SynII,SynII_gene_0065,ORF,S000000146,SEC17,109331,110209,109331.0,110209.0,109770.0,+,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_36,SynII_loxPsym_37,SynII_SEG_0037,exact_adjacent_lox,True
SynII,SynII_gene_0066,ORF,S000000145,MOH1,110918,111334,110918.0,111334.0,111126.0,+,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_36,SynII_loxPsym_37,SynII_SEG_0037,exact_adjacent_lox,True
SynII,SynII_gene_0067,ORF,S000000144,RRT1,111423,111734,111423.0,111734.0,111578.5,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_37,SynII_loxPsym_38,SynII_SEG_0038,exact_adjacent_lox,True
SynII,SynII_gene_0068,ORF,S000000143,EDE1,112053,116198,112053.0,116198.0,114125.5,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_38,SynII_loxPsym_39,SynII_SEG_0039,exact_adjacent_lox,True
SynII,SynII_gene_0069,ORF,S000000142,PSY4,116582,117907,116582.0,117907.0,117244.5,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_38,SynII_loxPsym_39,SynII_SEG_0039,exact_adjacent_lox,True
SynII,SynII_gene_0070,ORF,S000000141,COR1,118369,119742,118369.0,119742.0,119055.5,-,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_40,SynII_loxPsym_41,SynII_SEG_0041,exact_adjacent_lox,True
SynII,SynII_gene_0071,ORF,S000000140,YBL044W,120224,120592,120224.0,120592.0,120408.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_40,SynII_loxPsym_41,SynII_SEG_0041,exact_adjacent_lox,True
SynII,SynII_gene_0072,ORF,S000000139,ECM13,120914,121687,120914.0,121687.0,121300.5,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_40,SynII_loxPsym_41,SynII_SEG_0041,exact_adjacent_lox,True
SynII,SynII_gene_0073,ORF,S000000138,FUI1,122635,124554,122635.0,124554.0,123594.5,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_42,SynII_loxPsym_43,SynII_SEG_0043,exact_adjacent_lox,True
SynII,SynII_gene_0074,ORF,S000000137,PRE7,125541,126266,125541.0,126266.0,125903.5,+,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_42,SynII_loxPsym_43,SynII_SEG_0043,exact_adjacent_lox,True
SynII,SynII_gene_0075,ORF,S000000136,ERD2,126406,127065,126406.0,127065.0,126735.5,-,Essential,unique_flanking_anchors,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_42,SynII_loxPsym_43,SynII_SEG_0043,exact_adjacent_lox,True
SynII,SynII_gene_0076,ORF,S000028517,YBL039W-B,127590,127769,127590.0,127769.0,127679.5,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_42,SynII_loxPsym_43,SynII_SEG_0043,exact_adjacent_lox,True
SynII,SynII_gene_0077,ORF,S000000135,URA7,128220,129959,128220.0,129959.0,129089.5,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_43,SynII_loxPsym_44,SynII_SEG_0044,exact_adjacent_lox,True
SynII,SynII_gene_0078,ORF,S000028814,YBL039C-A,129179,129262,129179.0,129262.0,129220.5,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_43,SynII_loxPsym_44,SynII_SEG_0044,exact_adjacent_lox,True
SynII,SynII_gene_0079,ORF,S000000134,MRPL16,130418,131116,130418.0,131116.0,130767.0,+,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_43,SynII_loxPsym_44,SynII_SEG_0044,exact_adjacent_lox,True
SynII,SynII_gene_0080,ORF,S000000133,APL3,131474,134551,131474.0,134551.0,133012.5,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_44,SynII_loxPsym_45,SynII_SEG_0045,exact_adjacent_lox,True
SynII,SynII_gene_0081,ORF,S000000132,YBL036C,134780,135553,134780.0,135553.0,135166.5,-,Unknown,unique_flanking_anchors,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_46,SynII_loxPsym_47,SynII_SEG_0047,exact_adjacent_lox,True
SynII,SynII_gene_0082,ORF,S000000131,POL12,135826,137943,135826.0,137943.0,136884.5,-,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_46,SynII_loxPsym_47,SynII_SEG_0047,exact_adjacent_lox,True
SynII,SynII_gene_0083,ORF,S000000130,STU1,138181,142722,138181.0,142722.0,140451.5,-,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_46,SynII_loxPsym_47,SynII_SEG_0047,exact_adjacent_lox,True
SynII,SynII_gene_0084,ORF,S000000129,RIB1,143023,144060,143023.0,144060.0,143541.5,-,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_47,SynII_loxPsym_48,SynII_SEG_0048,exact_adjacent_lox,True
SynII,SynII_gene_0085,ORF,S000000128,HEK2,144551,145696,144551.0,145696.0,145123.5,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_47,SynII_loxPsym_48,SynII_SEG_0048,exact_adjacent_lox,True
SynII,SynII_gene_0086,ORF,S000000127,SHE1,146100,147116,146100.0,147116.0,146608.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_48,SynII_loxPsym_49,SynII_SEG_0049,exact_adjacent_lox,True
SynII,SynII_gene_0087,ORF,S000000126,PET9,147476,148432,147476.0,148432.0,147954.0,-,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_49,SynII_loxPsym_50,SynII_SEG_0050,exact_adjacent_lox,True
SynII,SynII_gene_0088,ORF,S000007591,YBL029C-A,148923,149207,148923.0,149207.0,149065.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_49,SynII_loxPsym_50,SynII_SEG_0050,exact_adjacent_lox,True
SynII,SynII_gene_0089,ORF,S000000125,YBL029W,150569,151699,150569.0,151699.0,151134.0,+,Unknown,unique_flanking_anchors,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_49,SynII_loxPsym_50,SynII_SEG_0050,exact_adjacent_lox,True
SynII,SynII_gene_0090,ORF,S000000124,YBL028C,151953,152273,151987.0,152307.0,152147.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_50,SynII_loxPsym_51,SynII_SEG_0051,exact_adjacent_lox,True
SynII,SynII_gene_0091,ORF,S000000123,RPL19B,152858,153811,152893.0,153846.0,153369.5,+,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_50,SynII_loxPsym_51,SynII_SEG_0051,exact_adjacent_lox,True
SynII,SynII_rep_origin_0092,rep_origin,S000118345,ARS207;Autonomously Replicating Sequence,154523,154771,154592.0,154840.0,154716.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_51,SynII_loxPsym_52,SynII_SEG_0052,exact_adjacent_lox,False
SynII,SynII_gene_0093,ORF,S000000122,LSM2,155058,155345,155127.0,155414.0,155270.5,+,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_51,SynII_loxPsym_52,SynII_SEG_0052,exact_adjacent_lox,True
SynII,SynII_gene_0094,ORF,S000000121,RRN10,155788,156225,155857.0,156294.0,156075.5,+,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_51,SynII_loxPsym_52,SynII_SEG_0052,exact_adjacent_lox,True
SynII,SynII_gene_0095,ORF,S000000120,NCL1,156875,158929,156944.0,158998.0,157971.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_52,SynII_loxPsym_53,SynII_SEG_0053,exact_adjacent_lox,True
SynII,SynII_gene_0096,ORF,S000000119,MCM2,159295,161901,159364.0,161970.0,160667.0,-,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_53,SynII_loxPsym_54,SynII_SEG_0054,exact_adjacent_lox,True
SynII,SynII_gene_0097,ORF,S000000118,PIM1,162283,165684,162352.0,165753.0,164052.5,-,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_54,SynII_loxPsym_55,SynII_SEG_0055,exact_adjacent_lox,True
SynII,SynII_gene_0098,ORF,S000000117,HAP3,166103,166537,166172.0,166606.0,166389.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_55,SynII_loxPsym_56,SynII_SEG_0056,exact_adjacent_lox,True
