synthetic_chromosome,sgd_gene_id,gene_name,synthetic_start_bp,synthetic_end_bp,synthetic_midpoint_bp,strand,essential_status,left_lox_id,right_lox_id,segment_id,mapping_status,interval_mapping_status,eligible_for_gene_risk,source_accession,source_file
SynII,S000000128,HEK2,144551.0,145696.0,145123.5,+,Unknown,SynII_loxPsym_47,SynII_loxPsym_48,SynII_SEG_0048,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000127,SHE1,146100.0,147116.0,146608.0,+,Unknown,SynII_loxPsym_48,SynII_loxPsym_49,SynII_SEG_0049,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000126,PET9,147476.0,148432.0,147954.0,-,Essential,SynII_loxPsym_49,SynII_loxPsym_50,SynII_SEG_0050,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000007591,YBL029C-A,148923.0,149207.0,149065.0,-,Unknown,SynII_loxPsym_49,SynII_loxPsym_50,SynII_SEG_0050,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000125,YBL029W,150569.0,151699.0,151134.0,+,Unknown,SynII_loxPsym_49,SynII_loxPsym_50,SynII_SEG_0050,unique_flanking_anchors,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000124,YBL028C,151987.0,152307.0,152147.0,-,Unknown,SynII_loxPsym_50,SynII_loxPsym_51,SynII_SEG_0051,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000123,RPL19B,152893.0,153846.0,153369.5,+,Ambiguous,SynII_loxPsym_50,SynII_loxPsym_51,SynII_SEG_0051,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000122,LSM2,155127.0,155414.0,155270.5,+,Essential,SynII_loxPsym_51,SynII_loxPsym_52,SynII_SEG_0052,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000121,RRN10,155857.0,156294.0,156075.5,+,Ambiguous,SynII_loxPsym_51,SynII_loxPsym_52,SynII_SEG_0052,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000120,NCL1,156944.0,158998.0,157971.0,+,Unknown,SynII_loxPsym_52,SynII_loxPsym_53,SynII_SEG_0053,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000119,MCM2,159364.0,161970.0,160667.0,-,Ambiguous,SynII_loxPsym_53,SynII_loxPsym_54,SynII_SEG_0054,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000118,PIM1,162352.0,165753.0,164052.5,-,Ambiguous,SynII_loxPsym_54,SynII_loxPsym_55,SynII_SEG_0055,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000117,HAP3,166172.0,166606.0,166389.0,-,Unknown,SynII_loxPsym_55,SynII_loxPsym_56,SynII_SEG_0056,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000116,RFT1,166913.0,168637.0,167775.0,+,Essential,SynII_loxPsym_55,SynII_loxPsym_56,SynII_SEG_0056,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000115,APN2,168865.0,170427.0,169646.0,+,Unknown,SynII_loxPsym_55,SynII_loxPsym_56,SynII_SEG_0056,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000114,POP8,170544.0,170945.0,170744.5,-,Essential,SynII_loxPsym_56,SynII_loxPsym_57,SynII_SEG_0057,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000113,PEP1,171349.0,176088.0,173718.5,-,Unknown,SynII_loxPsym_57,SynII_loxPsym_58,SynII_SEG_0058,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000112,FUS3,176956.0,178017.0,177486.5,+,Ambiguous,SynII_loxPsym_57,SynII_loxPsym_58,SynII_SEG_0058,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000111,ACH1,178661.0,180241.0,179451.0,+,Unknown,SynII_loxPsym_58,SynII_loxPsym_59,SynII_SEG_0059,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000110,RRN6,182571.0,185255.0,183913.0,-,Essential,SynII_loxPsym_60,SynII_loxPsym_61,SynII_SEG_0061,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000109,FMT1,185563.0,186768.0,186165.5,+,Unknown,SynII_loxPsym_60,SynII_loxPsym_61,SynII_SEG_0061,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000108,YBL012C,186947.0,187348.0,187147.5,-,Unknown,SynII_loxPsym_61,SynII_loxPsym_62,SynII_SEG_0062,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000107,SCT1,187079.0,189358.0,188218.5,+,Unknown,SynII_loxPsym_61,SynII_loxPsym_62,SynII_SEG_0062,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000106,YBL010C,189682.0,190524.0,190103.0,-,Unknown,SynII_loxPsym_62,SynII_loxPsym_63,SynII_SEG_0063,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000105,ALK2,190769.0,192799.0,191784.0,+,Unknown,SynII_loxPsym_62,SynII_loxPsym_63,SynII_SEG_0063,unique_flanking_anchors,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000028529,YBL008W-A,193018.0,193257.0,193137.5,+,Unknown,SynII_loxPsym_63,SynII_loxPsym_64,SynII_SEG_0064,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000104,HIR1,193262.0,195784.0,194523.0,+,Unknown,SynII_loxPsym_63,SynII_loxPsym_64,SynII_SEG_0064,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000103,SLA1,196309.0,200043.0,198176.0,-,Ambiguous,SynII_loxPsym_65,SynII_loxPsym_66,SynII_SEG_0066,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000102,LDB7,200298.0,200840.0,200569.0,-,Unknown,SynII_loxPsym_66,SynII_loxPsym_67,SynII_SEG_0067,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000028596,YBL006W-A,200422.0,200571.0,200496.5,+,Unknown,SynII_loxPsym_66,SynII_loxPsym_67,SynII_SEG_0067,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000101,PDR3,201181.0,204111.0,202646.0,+,Unknown,SynII_loxPsym_66,SynII_loxPsym_67,SynII_SEG_0067,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000100,UTP20,205153.0,212634.0,208893.5,+,Essential,SynII_loxPsym_68,SynII_loxPsym_69,SynII_SEG_0069,unique_flanking_anchors,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000099,HTA2,212945.0,213343.0,213144.0,-,Ambiguous,SynII_loxPsym_69,SynII_loxPsym_70,SynII_SEG_0070,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000098,HTB2,214043.0,214438.0,214240.5,+,Unknown,SynII_loxPsym_69,SynII_loxPsym_70,SynII_SEG_0070,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000205,NTH2,216625.0,218967.0,217796.0,-,Unknown,SynII_loxPsym_73,SynII_loxPsym_74,SynII_SEG_0074,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
