chromosome,gene_id,gene_name,start_bp,end_bp,strand,essential_status,feature_type,source_file,source_sheet
chrII,S000028596,YBL006W-A,216711,216860,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000028597,YBL071C-B,89458,89556,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002933,API2,1489905,1490234,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000028598,YBL100W-C,28427,28546,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000616,YCR022C,157421,157765,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000639,YCR043C,206261,206644,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000118475,ARS1216,450485,450725,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000118475,S000118475,450506,450522,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVI,S000001880,HSP12,107256,107585,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003339,YGR107W,702667,703116,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrX,S000028659,YJL020W-A,400981,401238,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrX,S000028660,YJL026C-A,393066,393287,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000886,YER084W,327065,327451,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrX,S000028661,YJL077W-A,294799,294885,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001167,YHR125W,358858,359163,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrX,S000028662,YJL077W-B,294047,294145,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrX,S000028663,YJL222W-A,9452,9679,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrX,S000028664,YJL222W-B,9346,9483,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000149,YBL053W,119335,119709,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000118476,ARS1217,512867,513115,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000118476,S000118476,513070,513086,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002716,SRB7,1078027,1078449,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003185,YGL217C,84839,85180,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000028551,YGR240C-A,974577,974777,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001360,FMC1,179772,180239,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVI,S000001830,YFL064C,3322,3846,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001479,YIR040C,433389,433721,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVI,S000001831,YFL063W,5066,5521,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003500,HUA1,1026057,1026653,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001480,PAU15,433929,434303,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000007651,YOS1,307653,308123,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000007651,S000007651,307957,308067,+,Essential,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000007651,S000007651,307747,307848,+,Essential,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003211,ANK1,44652,45197,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000028421,HSK3,184803,185012,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000028422,TAR1,454696,455070,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000028423,ERI1,366529,366735,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000028425,SPO24,645950,646153,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001456,MET28,383556,384119,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000004326,YLR334C,796698,797078,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIV,S000004988,YNL043C,545589,545909,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000007235,SEM1,1202128,1202397,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000007236,SNA2,1490596,1490835,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000007237,ISD11,250718,251002,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000118479,ARS1223,744943,745179,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000118479,S000118479,745100,745116,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000004849,TAF9,742971,743444,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000118481,ARS1232,1007186,1007475,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000118481,S000118481,1007235,1007251,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000007211,YPRWdelta14,776093,776413,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000118482,ARS1233,1013795,1014022,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000118482,S000118482,1013845,1013861,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118487,ARS1510,166976,167221,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118487,S000118487,167002,167018,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000887,LDM1,327619,328140,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118488,ARS1511,277530,277778,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118488,S000118488,277717,277733,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002298,SCM3,211375,212046,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002299,RPO21,205360,210561,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118491,ARS1521,729740,729969,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118491,S000118491,729795,729811,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118493,ARS1524,783345,783563,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118493,S000118493,783386,783402,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000005400,RPS15,253149,253577,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002941,HSP31,1501447,1502160,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000007118,YMRCtau3,808537,808906,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000007119,YMRCTy1-3,357005,362918,-,Unknown,LTR retrotransposon,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000004542,BET5,111865,112344,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000007120,YMRCTy1-4,372697,378622,-,Unknown,LTR retrotransposon,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000007121,YMRWdelta12,379072,379198,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIV,S000005025,SWS2,476188,476619,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000007057,YKLWdelta7,314193,314524,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000006432,EST3,335666,336212,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000006432,S000006432,335936,335936,-,Ambiguous,plus_1_translational_frameshift,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000006433,TOM5,797557,797709,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000006434,LSM3,1013909,1014178,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002310,BUD30,183318,183899,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000007122,YMRWdelta15,481571,481808,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000007123,YMRWdelta16,503192,503389,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002311,YDL152W,182822,183187,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000004904,YMR290W-A,851422,851769,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000007058,YKRCdelta8,458140,458471,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000007059,YKRCdelta9,490286,490416,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118495,ARS1528,908296,908544,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118495,S000118495,908306,908322,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000203,MIX23,9961,10551,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000204,YBL108W,8177,8482,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002595,YDR187C,836228,836746,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118496,ARS1529,981462,981697,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003227,VEL1,11110,11730,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003029,DUO1,388968,389711,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003228,YPS5,8470,8967,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003229,YGL260W,6860,7090,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003230,PAU11,6290,6652,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000007060,YKRCdelta11,513532,513846,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000118987,ARS1238,888570,888810,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000118987,S000118987,888725,888741,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118995,ARS1531,35669,35904,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000118995,S000118995,35713,35729,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000118996,ARS230,28942,29160,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000007061,YKRCdelta12,517453,517784,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003231,YGL262W,5312,5839,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000119036,ARS1126,196042,196287,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000006357,MAY24,833689,834245,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000006357,S000006357,833694,833827,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001642,RCN1,153816,154451,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000007062,YKRWdelta10,490464,490787,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000007063,YKRWomega1,665430,665668,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007064,YLLCdelta1,92050,92381,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002485,SHU2,602198,602869,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002486,PET100,603064,603399,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007065,YLRCdelta2,215080,215417,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002217,RAD59,344237,344953,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002818,STE14,1292372,1293091,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007066,YLRCdelta3,220668,221005,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000251,FMP23,331833,332360,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007067,YLRCdelta5,365810,366144,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007068,YLRCdelta7,475976,476310,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000119037,ARS1127,213439,213743,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000004543,CPR3,111002,111550,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007069,YLRCdelta8,481563,481897,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000119038,ARS1633,456563,456810,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007070,YLRCdelta9,592706,593035,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001523,NFU1,361058,361828,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007072,YLRCdelta18,731668,732000,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001524,VPS24,360143,360817,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002919,SDH7,1470017,1470418,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007073,YLRCdelta19,734501,734671,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007074,YLRCdelta21,818073,818403,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000119040,ARS1634,565052,565294,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002920,EMI1,1470500,1471063,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007075,YLRWdelta24,963230,963545,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002921,GRX2,1471017,1471448,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007076,YLRCdelta25,976258,976589,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000119041,ARS1635,776926,777156,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000119041,S000119041,777084,777098,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000006358,PIN3,834565,835212,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007077,YLRCdelta26,981369,981700,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002710,GPI11,1067731,1068390,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVI,S000001932,CDC26,226963,227337,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002862,GUK1,1366264,1366827,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002820,RRP17,1294693,1295400,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002863,YDR455C,1367373,1367681,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002821,YDR413C,1294836,1295411,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000119069,ARS450,505343,505584,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000119070,ARS451,748392,748637,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000119070,S000119070,748456,748472,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000004910,GSR1,858297,858890,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007078,YLRCdelta27,1052303,1052632,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007079,YLRCsigma1,168043,168380,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrX,S000003873,NNF1,637030,637635,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007080,YLRCtau1,599570,599844,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007081,YLRCTy1-1,475976,481897,-,Unknown,LTR retrotransposon,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007082,YLRCTy2-2,976258,981700,-,Unknown,LTR retrotransposon,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007083,YLRWdelta4,221006,221266,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003385,YGR153W,796092,796745,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002649,BUD26,945151,945438,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002825,YDR417C,1301555,1301926,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007084,YLRWdelta6,448842,449028,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002826,RPL12B,1301616,1302113,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000004544,CFF1,110247,110852,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000119071,ARS452,1109964,1110204,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000120636,ARS1200-1,458991,459097,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000120636,S000120636,459078,459088,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000120655,ARS1200-2,468128,468234,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000120655,S000120655,468215,468225,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007085,YLRWdelta10,593145,593478,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007086,YLRWdelta11,598729,599062,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007088,YLRWdelta13,650824,651157,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003358,YGR126W,745835,746527,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001802,RPL40B,617996,618750,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001802,S000001802,618375,618742,-,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001803,MLP1,619805,625432,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000006858,YDRCsigma6,1175134,1175812,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000006859,YDRCTy1-1,645502,651419,-,Unknown,LTR retrotransposon,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000006860,YDRCTy1-2,878303,884220,-,Unknown,LTR retrotransposon,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000006861,YDRCTy1-3,987150,992642,-,Unknown,LTR retrotransposon,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000006862,YDRCTy2-1,513692,519647,-,Unknown,LTR retrotransposon,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007283,COX3,79213,80022,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007284,Q0297,85554,85709,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000006863,YDRWdelta7,520477,520805,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000006864,YDRWdelta10,668543,668784,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002457,TPI1,555726,556472,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007089,YLRWdelta14,656410,656743,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001481,YIR042C,435273,435983,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007090,YLRWdelta15,657449,657767,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001484,MET14,438777,439385,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIV,S000004989,YIP3,545268,545877,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIV,S000004989,S000004989,545292,545370,+,Ambiguous,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007091,YLRWdelta17,688369,688664,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007092,YLRWdelta20,796899,797088,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001228,PFS1,474627,475340,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
